#Nearest Neighbor Entropy Estimator. X~Beta(s+1,s+1)^d. Average over 500 tries
#d	s	k	N	sqMSE	slope	intercept
2	1.0	1	1024	0.0516	-0.4993	0.4719
2	1.0	1	2048	0.0347	-0.4993	0.4719
2	1.0	2	32	0.2139	-0.5164	0.2266
2	1.0	2	64	0.1495	-0.5164	0.2266
2	1.0	2	128	0.1001	-0.5164	0.2266
2	1.0	2	256	0.0699	-0.5164	0.2266
2	1.0	2	512	0.0494	-0.5164	0.2266
2	1.0	2	1024	0.0338	-0.5164	0.2266
2	1.0	2	2048	0.0258	-0.5164	0.2266
2	1.0	3	32	0.1907	-0.5140	0.0781
2	1.0	3	64	0.1254	-0.5140	0.0781
2	1.0	3	128	0.0875	-0.5140	0.0781
2	1.0	3	256	0.0592	-0.5140	0.0781
2	1.0	3	512	0.0450	-0.5140	0.0781
2	1.0	3	1024	0.0306	-0.5140	0.0781
2	1.0	3	2048	0.0219	-0.5140	0.0781
2	1.0	4	32	0.1781	-0.5378	0.1251
2	1.0	4	64	0.1201	-0.5378	0.1251
2	1.0	4	128	0.0864	-0.5378	0.1251
2	1.0	4	256	0.0563	-0.5378	0.1251
2	1.0	4	512	0.0370	-0.5378	0.1251
2	1.0	4	1024	0.0277	-0.5378	0.1251
2	1.0	4	2048	0.0194	-0.5378	0.1251
2	1.0	5	32	0.1865	-0.5566	0.1841
2	1.0	5	64	0.1218	-0.5566	0.1841
2	1.0	5	128	0.0742	-0.5566	0.1841
2	1.0	5	256	0.0524	-0.5566	0.1841
2	1.0	5	512	0.0361	-0.5566	0.1841
2	1.0	5	1024	0.0261	-0.5566	0.1841
2	1.0	5	2048	0.0181	-0.5566	0.1841
2	1.0	6	32	0.1762	-0.5547	0.1536
2	1.0	6	64	0.1155	-0.5547	0.1536
2	1.0	6	128	0.0757	-0.5547	0.1536
2	1.0	6	256	0.0537	-0.5547	0.1536
2	1.0	6	512	0.0372	-0.5547	0.1536
2	1.0	6	1024	0.0242	-0.5547	0.1536
2	1.0	6	2048	0.0175	-0.5547	0.1536
2	1.0	7	32	0.1854	-0.5615	0.1809
2	1.0	7	64	0.1171	-0.5615	0.1809
2	1.0	7	128	0.0726	-0.5615	0.1809
2	1.0	7	256	0.0495	-0.5615	0.1809
2	1.0	7	512	0.0365	-0.5615	0.1809
2	1.0	7	1024	0.0242	-0.5615	0.1809
2	1.0	7	2048	0.0176	-0.5615	0.1809
2	1.0	8	32	0.1927	-0.5869	0.3134
2	1.0	8	64	0.1202	-0.5869	0.3134
2	1.0	8	128	0.0711	-0.5869	0.3134
2	1.0	8	256	0.0521	-0.5869	0.3134
2	1.0	8	512	0.0343	-0.5869	0.3134
2	1.0	8	1024	0.0244	-0.5869	0.3134
2	1.0	8	2048	0.0160	-0.5869	0.3134
2	1.0	9	32	0.2007	-0.6075	0.4209
2	1.0	9	64	0.1224	-0.6075	0.4209
2	1.0	9	128	0.0739	-0.6075	0.4209
2	1.0	9	256	0.0506	-0.6075	0.4209
2	1.0	9	512	0.0328	-0.6075	0.4209
2	1.0	9	1024	0.0231	-0.6075	0.4209
2	1.0	9	2048	0.0157	-0.6075	0.4209
2	1.0	10	32	0.2149	-0.6323	0.5761
2	1.0	10	64	0.1265	-0.6323	0.5761
2	1.0	10	128	0.0787	-0.6323	0.5761
2	1.0	10	256	0.0507	-0.6323	0.5761
2	1.0	10	512	0.0335	-0.6323	0.5761
2	1.0	10	1024	0.0223	-0.6323	0.5761
2	1.0	10	2048	0.0152	-0.6323	0.5761
2	1.5	1	32	0.2983	-0.5012	0.5078
2	1.5	1	64	0.1960	-0.5012	0.5078
2	1.5	1	128	0.1526	-0.5012	0.5078
2	1.5	1	256	0.1023	-0.5012	0.5078
2	1.5	1	512	0.0726	-0.5012	0.5078
2	1.5	1	1024	0.0515	-0.5012	0.5078
2	1.5	1	2048	0.0364	-0.5012	0.5078
2	1.5	2	32	0.2147	-0.5021	0.1921
2	1.5	2	64	0.1452	-0.5021	0.1921
2	1.5	2	128	0.1075	-0.5021	0.1921
2	1.5	2	256	0.0748	-0.5021	0.1921
2	1.5	2	512	0.0538	-0.5021	0.1921
2	1.5	2	1024	0.0383	-0.5021	0.1921
2	1.5	2	2048	0.0256	-0.5021	0.1921
2	1.5	3	32	0.1998	-0.5180	0.1654
2	1.5	3	64	0.1351	-0.5180	0.1654
2	1.5	3	128	0.0946	-0.5180	0.1654
2	1.5	3	256	0.0670	-0.5180	0.1654
2	1.5	3	512	0.0455	-0.5180	0.1654
2	1.5	3	1024	0.0332	-0.5180	0.1654
2	1.5	3	2048	0.0228	-0.5180	0.1654
2	1.5	4	32	0.1817	-0.5110	0.0648
2	1.5	4	64	0.1296	-0.5110	0.0648
2	1.5	4	128	0.0896	-0.5110	0.0648
2	1.5	4	256	0.0625	-0.5110	0.0648
2	1.5	4	512	0.0425	-0.5110	0.0648
2	1.5	4	1024	0.0303	-0.5110	0.0648
2	1.5	4	2048	0.0225	-0.5110	0.0648
2	1.5	5	32	0.1813	-0.5261	0.0743
2	1.5	5	64	0.1164	-0.5261	0.0743
2	1.5	5	128	0.0836	-0.5261	0.0743
2	1.5	5	256	0.0578	-0.5261	0.0743
2	1.5	5	512	0.0403	-0.5261	0.0743
2	1.5	5	1024	0.0277	-0.5261	0.0743
2	1.5	5	2048	0.0201	-0.5261	0.0743
2	1.5	6	32	0.1689	-0.5226	0.0370
2	1.5	6	64	0.1180	-0.5226	0.0370
2	1.5	6	128	0.0807	-0.5226	0.0370
2	1.5	6	256	0.0575	-0.5226	0.0370
2	1.5	6	512	0.0421	-0.5226	0.0370
2	1.5	6	1024	0.0270	-0.5226	0.0370
2	1.5	6	2048	0.0191	-0.5226	0.0370
2	1.5	7	32	0.1700	-0.5302	0.0361
2	1.5	7	64	0.1154	-0.5302	0.0361
2	1.5	7	128	0.0777	-0.5302	0.0361
2	1.5	7	256	0.0526	-0.5302	0.0361
2	1.5	7	512	0.0367	-0.5302	0.0361
2	1.5	7	1024	0.0271	-0.5302	0.0361
2	1.5	7	2048	0.0186	-0.5302	0.0361
2	1.5	8	32	0.1890	-0.5418	0.1230
2	1.5	8	64	0.1142	-0.5418	0.1230
2	1.5	8	128	0.0763	-0.5418	0.1230
2	1.5	8	256	0.0546	-0.5418	0.1230
2	1.5	8	512	0.0402	-0.5418	0.1230
2	1.5	8	1024	0.0246	-0.5418	0.1230
2	1.5	8	2048	0.0196	-0.5418	0.1230
2	1.5	9	32	0.1907	-0.5467	0.1332
2	1.5	9	64	0.1149	-0.5467	0.1332
2	1.5	9	128	0.0763	-0.5467	0.1332
2	1.5	9	256	0.0495	-0.5467	0.1332
2	1.5	9	512	0.0371	-0.5467	0.1332
2	1.5	9	1024	0.0275	-0.5467	0.1332
2	1.5	9	2048	0.0183	-0.5467	0.1332
2	1.5	10	32	0.1923	-0.5555	0.1948
2	1.5	10	64	0.1177	-0.5555	0.1948
2	1.5	10	128	0.0762	-0.5555	0.1948
2	1.5	10	256	0.0541	-0.5555	0.1948
2	1.5	10	512	0.0372	-0.5555	0.1948
2	1.5	10	1024	0.0274	-0.5555	0.1948
2	1.5	10	2048	0.0177	-0.5555	0.1948
2	2.0	1	32	0.2752	-0.4857	0.4099
2	2.0	1	64	0.2078	-0.4857	0.4099
2	2.0	1	128	0.1479	-0.4857	0.4099
2	2.0	1	256	0.0957	-0.4857	0.4099
2	2.0	1	512	0.0715	-0.4857	0.4099
2	2.0	1	1024	0.0514	-0.4857	0.4099
2	2.0	1	2048	0.0384	-0.4857	0.4099
2	2.0	2	32	0.2242	-0.5291	0.3803
2	2.0	2	64	0.1632	-0.5291	0.3803
2	2.0	2	128	0.1138	-0.5291	0.3803
2	2.0	2	256	0.0821	-0.5291	0.3803
2	2.0	2	512	0.0547	-0.5291	0.3803
2	2.0	2	1024	0.0364	-0.5291	0.3803
2	2.0	2	2048	0.0254	-0.5291	0.3803
2	2.0	3	32	0.1953	-0.5093	0.1488
2	2.0	3	64	0.1406	-0.5093	0.1488
2	2.0	3	128	0.0984	-0.5093	0.1488
2	2.0	3	256	0.0696	-0.5093	0.1488
2	2.0	3	512	0.0484	-0.5093	0.1488
2	2.0	3	1024	0.0346	-0.5093	0.1488
2	2.0	3	2048	0.0234	-0.5093	0.1488
